"Source:","/Users/adampaul/Local Documents/Observatory/observatory_pcbs/TelescopeController/TelescopeController.kicad_sch"
"Date:","2024 May 27, Monday 15:38:41"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","","","","","",""
"2","1","C1","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"3","1","C2","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"4","7","D8, D9, D10, D11, D12, D13, D14","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","",""
"5","1","F1","1A","Device:Fuse","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"6","4","F2, F3, F4, F5","1.5A","Device:Fuse","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"7","2","J1, J7","PJ-102BH","PJ-102BH:PJ-102BH","PJ-102BH:PJ-102AH","https://componentsearchengine.com/Datasheets/1/PJ-102BH.pdf","","PJ-102BH","https://www.arrow.com/en/products/pj-102bh/cui-devices?region=nac","DC Power Connectors Power Jacks","","CUI Devices","PJ-102BH","490-PJ-102BH","https://www.mouser.co.uk/ProductDetail/CUI-Devices/PJ-102BH?qs=WyjlAZoYn51LQvDYqCqBtA%3D%3D"
"8","3","J2, J3, J4","RCJ-041","RCJ-041:RCJ-041","RCJ-041:RCJ041","https://www.cuidevices.com/product/resource/digikeypdf/rcj-04x.pdf","","RCJ-041","https://www.arrow.com/en/products/rcj-041/cui-devices?region=nac","RCA Phono Connectors RCA Connectors","13","CUI Devices","RCJ-041","490-RCJ-041","https://www.mouser.co.uk/ProductDetail/CUI-Devices/RCJ-041?qs=WyjlAZoYn52BTmz2mkbjnQ%3D%3D"
"9","1","J5","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","","","","","","","","",""
"10","1","J11","Conn_02x04_Counter_Clockwise","Connector_Generic:Conn_02x04_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Horizontal","~","","","","","","","","",""
"11","1","PS1","P78E05-1000","P78E05-1000:P78E05-1000","P78E05-1000:P78E051000","https://www.cui.com/product/resource/p78e-1000.pdf","","P78E05-1000","https://www.arrow.com/en/products/p78e05-1000/cui-inc?region=nac","","10","CUI Inc.","P78E05-1000","490-P78E05-1000","https://www.mouser.co.uk/ProductDetail/CUI-Inc/P78E05-1000?qs=qSfuJ%252Bfl%2Fd5TjVuYPuGfGA%3D%3D"
"12","4","Q1, Q3, Q5, Q7","DMN63D8LW-13","DMN63D8LW-13:DMN63D8LW-13","DMN63D8LW-13:SOT65P210X110-3N","https://www.diodes.com/assets/Datasheets/DMN63D8LW.pdf","","DMN63D8LW-13","https://www.arrow.com/en/products/dmn63d8lw-13/diodes-incorporated?region=nac","N-CHANNEL ENHANCEMENT MODE MOSFET.","1.1","Diodes Inc.","DMN63D8LW-13","621-DMN63D8LW-13","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN63D8LW-13?qs=nQSIdc08i%252Bc91siUJjxJqg%3D%3D"
"13","4","Q2, Q10, Q11, Q12","DMP3099L-7","DMP3099L-7:DMP3099L-7","DMP3099L-7:SOT96P240X115-3N","https://www.diodes.com//assets/Datasheets/DMP3099L.pdf","","DMP3099L-7","https://www.arrow.com/en/products/dmp3099l-7/diodes-incorporated?region=nac","","1.15","Diodes Incorporated","DMP3099L-7","621-DMP3099L-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMP3099L-7?qs=L1DZKBg7t5HhdiZT7qYxFw%3D%3D"
"14","23","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24, R25","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"15","2","R17, R18","300R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"16","4","R26, R27, R28, R29","10k, 0.1%","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"17","5","S4, S7, S8, S9, S10","AS1E-2M-10-Z","AS1E-2M-10-Z:AS1E-2M-10-Z","AS1E-2M-10-Z:AS1E2M10Z","https://www.nidec-copal-electronics.com/e/catalog/switch/as.pdf","","","","","12.3","Nidec Copal","AS1E-2M-10-Z","229-AS1E-2M-10-Z","https://www.mouser.co.uk/ProductDetail/Nidec-Copal/AS1E-2M-10-Z?qs=XeJtXLiO41SfK19XCq4wJw%3D%3D"
"18","12","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12","TestPoint","Connector:TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","",""
